effectName,shortDesc,fullDesc,activeDesc,TEST,indexNum,displayNum,player,accessible,inclusion,exemplarTheme,school,duration,rarity,component,inspiration,specFunc,Lite 120,Exemplar Inclusion,D#,Category,Scope,isAbjuration,isChronomancy,isConjuration,isDivination,isEnchantment,isEvocation,isIllusion,isNecromancy,isTransmutation,Cycle
Dave's Generosity,"All players search their libraries for a basic land and put it into play tapped, then shuffle their library.",,,DIFF,1,001,duel,TRUE,"exemplar, custom",main,Divination,Instant,common,,Dave H,,,y,101,Tutor,All,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Scappoose
CJ Freeze,"Until the start of your next turn, players can't untap more than one land during their untap steps.",,Players can't untap more than one land during their untap steps.,DIFF,2,002,duel,TRUE,custom,,Enchantment,Round,uncommon,Reminder,CJ H,,,,171,Cards,All,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Scappoose
Aelwynn's Vengeance,All players lose 3 life.,,,DIFF,3,003,duel,TRUE,"lite, custom",,Necromancy,Instant,common,,Aelwynn H,,x,x,254,Damage,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Scappoose
David's Celerity,"Until the start of your next turn, the casting cost of all spells is reduced by <z-is>1</z-is>.",,The casting cost of all spells is reduced by <z-is>1</z-is>.,DIFF,4,004,duel,TRUE,custom,,Evocation,Round,uncommon,Reminder,David C,,,y,198,Cards,All,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Scappoose
Mirage Redux,"Target opponent, their hand, library, graveyard, and all permanents they control phase out.",,,DIFF,5,005,multi,TRUE,"exemplar, custom",main,Illusion,Instant,uncommon,,,,,y,393,Wacky,Opponent,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Basics
Dave's Accelerator,All creatures gain +2/+0 when attacking until end of turn.,,,DIFF,6,006,duel,TRUE,custom,,Transmutation,Turn,common,,Dave H,,,,376,Buff,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Scappoose
Spy Games,Choose an unchosen opponent. Look at the top three cards of their library and put them back in any order. That opponent may copy this effect and choose a new unchosen player.,,,DIFF,7,007,duel,TRUE,custom,,"Divination, Illusion",Instant,uncommon,,,,,,006,"Player, Opponent, Cards",Opponent,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Bond
David's Armies,"Until the start of your next turn, basic lands may be cast as if they were creatures. They do not count as lands. At the start of your next turn, all lands cast in this way revert to basic lands.","Until the start of your next turn, basic lands may be cast as if they were creatures with: casting cost <z-is>2</z-is>, Haste, 2/2. Lands cast in this way do not count toward the one-land-per-turn limit. At the start of your next turn, all lands cast in this way revert to basic lands.","Basic lands may be cast as if they were creatures with: casting cost <z-is>2</z-is>, Haste, 2/2. Lands cast in this way do not count toward the one-land-per-turn limit. At the start of your next turn, all lands cast in this way revert to basic lands.",DIFF,8,008,duel,TRUE,custom,,Transmutation,Round,rare,Reminder,David C,,,,146,Cards,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Scappoose
Canadian Tuxedo,Put a denimwalk counter on target creature.,,,DIFF,9,009,duel,TRUE,custom,,Transmutation,Instant,common,,,,,,161,Buff,Creature,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,North
Día de los Muertos,"All players may put any number of planeswalkers, creatures, enchantments, artifacts, and lands from their graveyard into play.",,,DIFF,10,010,duel,TRUE,"exemplar, custom",main,Necromancy,Instant,rare,,,,,y,032,Cards,All,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Shop'n'Swap
